year,state,fips,gender,births
2008,Vermont,50,female,3089
2008,Vermont,50,male,3250
2008,Vermont,50,total,6339
2008,Virginia,51,female,52391
2008,Virginia,51,male,54295
2008,Virginia,51,total,106686
2008,Washington,53,female,44210
2008,Washington,53,male,46111
2008,Washington,53,total,90321
2008,West Virginia,54,female,10358
2008,West Virginia,54,male,11143
2008,West Virginia,54,total,21501
2008,Wisconsin,55,female,35300
2008,Wisconsin,55,male,36961
2008,Wisconsin,55,total,72261
2008,Wyoming,56,female,3953
2008,Wyoming,56,male,4085
2008,Wyoming,56,total,8038
2008,United States,,total,4247694
2009,Alabama,01,female,30725
2009,Alabama,01,male,31750
2009,Alabama,01,total,62475
2009,Alaska,02,female,5359
2009,Alaska,02,male,5965
2009,Alaska,02,total,11324
2009,Arizona,04,female,45362
2009,Arizona,04,male,47436
2009,Arizona,04,total,92798
2009,Arkansas,05,female,19309
2009,Arkansas,05,male,20499
2009,Arkansas,05,total,39808
2009,California,06,female,257071
2009,California,06,male,269949
2009,California,06,total,527020
2009,Colorado,08,female,33448
2009,Colorado,08,male,35180
2009,Colorado,08,total,68628
2009,Connecticut,09,female,19061
2009,Connecticut,09,male,19835
2009,Connecticut,09,total,38896
2009,Delaware,10,female,5659
2009,Delaware,10,male,5900
2009,Delaware,10,total,11559
2009,District of Columbia,11,female,4421
2009,District of Columbia,11,male,4619
2009,District of Columbia,11,total,9040
2009,Florida,12,female,108243
2009,Florida,12,male,113151
2009,Florida,12,total,221394
2009,Georgia,13,female,69028
2009,Georgia,13,male,72349
2009,Georgia,13,total,141377
2009,Hawaii,15,female,9215
2009,Hawaii,15,male,9672
2009,Hawaii,15,total,18887
2009,Idaho,16,female,11548
2009,Idaho,16,male,12189
2009,Idaho,16,total,23737
2009,Illinois,17,female,83410
2009,Illinois,17,male,87753
2009,Illinois,17,total,171163
2009,Indiana,18,female,42469
2009,Indiana,18,male,44204
2009,Indiana,18,total,86673
2009,Iowa,19,female,19422
2009,Iowa,19,male,20279
2009,Iowa,19,total,39701
2009,Kansas,20,female,20289
2009,Kansas,20,male,21107
2009,Kansas,20,total,41396
2009,Kentucky,21,female,27938
2009,Kentucky,21,male,29613
2009,Kentucky,21,total,57551
2009,Louisiana,22,female,31828
2009,Louisiana,22,male,33145
2009,Louisiana,22,total,64973
2009,Maine,23,female,6538
2009,Maine,23,male,6932
2009,Maine,23,total,13470
2009,Maryland,24,female,36866
2009,Maryland,24,male,38193
2009,Maryland,24,total,75059
2009,Massachusetts,25,female,36461
2009,Massachusetts,25,male,38555
2009,Massachusetts,25,total,75016
2009,Michigan,26,female,57133
2009,Michigan,26,male,60161
2009,Michigan,26,total,117294
2009,Minnesota,27,female,34322
2009,Minnesota,27,male,36324
2009,Minnesota,27,total,70646
2009,Mississippi,28,female,20975
2009,Mississippi,28,male,21926
2009,Mississippi,28,total,42901
